Date,Close,High,Low,Open,Volume
04/01/2010,6.42460537,6.439315163,6.37567266,6.407193704,493729600
05/01/2010,6.435713291,6.472037665,6.401790181,6.442317868,601904800
06/01/2010,6.333343506,6.461229309,6.32673893,6.435712029,552160000
07/01/2010,6.321635723,6.364264863,6.275705096,6.356759662,477131200
08/01/2010,6.36366415,6.364264967,6.276006208,6.313230402,447610800
11/01/2010,6.307527065,6.394284782,6.257693334,6.388280621,462229600
12/01/2010,6.235779285,6.297321142,6.196753437,6.279908672,594459600
13/01/2010,6.323737621,6.332143447,6.127106555,6.240282587,605892000
14/01/2010,6.287112713,6.318033738,6.274804585,6.307526858,432894000
15/01/2010,6.182043076,6.352257438,6.180241827,6.332143498,594067600
19/01/2010,6.455525875,6.460028996,6.221369613,6.254091087,730007600
20/01/2010,6.356159687,6.470835951,6.289214497,6.451623037,612152800
21/01/2010,6.246285915,6.40359174,6.220468823,6.366667349,608154400
22/01/2010,5.936477184,6.229173164,5.918765714,6.20755899,881767600
25/01/2010,6.096184254,6.145116553,6.009726355,6.079373007,1065699600
26/01/2010,6.182342052,6.415598457,6.08147457,6.18264226,1867110000
27/01/2010,6.240581989,6.321635754,5.989913489,6.209660962,1722568400
28/01/2010,5.982710361,6.16913559,5.964998885,6.152024529,1173502400
29/01/2010,5.765663147,6.070067254,5.7113267,6.036444759,1245952400
01/02/2010,5.845817089,5.883942707,5.74284814,5.774969597,749876400
02/02/2010,5.879738808,5.893548375,5.805289233,5.881240248,698342400
03/02/2010,5.980908394,6.010028176,5.836511516,5.859026721,615328000
04/02/2010,5.765364647,5.955091342,5.750954659,5.905858019,757652000
05/02/2010,5.867732048,5.883943283,5.729339339,5.782775572,850306800
08/02/2010,5.827503681,5.940379474,5.823901186,5.874635531,478270800
09/02/2010,5.889647007,5.928973059,5.84641785,5.896551391,632886800
10/02/2010,5.857524395,5.901954779,5.831707308,5.88063961,370361600
11/02/2010,5.964096546,5.996518614,5.825703844,5.850320503,550345600
12/02/2010,6.015431404,6.053256817,5.868933083,5.947285379,655468800
